[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:37, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:37, Acq. 22, Trigger: RaspPi, RecNum: 22
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:38, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:38, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:38, Acq. 23, Trigger: RaspPi, RecNum: 23
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:39, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:40, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:40, Acq. 24, Trigger: RaspPi, RecNum: 24
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:41, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:41, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:41, Acq. 25, Trigger: RaspPi, RecNum: 25
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:43, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:43, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:43, Acq. 26, Trigger: RaspPi, RecNum: 26
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:44, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:44, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:44, Acq. 27, Trigger: RaspPi, RecNum: 27
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:45, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:45, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:45, Acq. 28, Trigger: RaspPi, RecNum: 28
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:47, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:47, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:47, Acq. 29, Trigger: RaspPi, RecNum: 29
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:48, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:48, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:48, Acq. 30, Trigger: RaspPi, RecNum: 30
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:49, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:49, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:50, Acq. 31, Trigger: RaspPi, RecNum: 31
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:50, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:51, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:51, Acq. 32, Trigger: RaspPi, RecNum: 32
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:53, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:19:59, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:19:59, Acq. 33, Trigger: RaspPi, RecNum: 33
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:00, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:06, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:20:06, Acq. 34, Trigger: RaspPi, RecNum: 34
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:07, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:08, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:20:08, Acq. 35, Trigger: RaspPi, RecNum: 35
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:09, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:10, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:20:10, Acq. 36, Trigger: RaspPi, RecNum: 36
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:11, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:11, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:20:11, Acq. 37, Trigger: RaspPi, RecNum: 37
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:12, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:12, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:20:12, Acq. 38, Trigger: RaspPi, RecNum: 38
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:13, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:14, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:20:14, Acq. 39, Trigger: RaspPi, RecNum: 39
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:15, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:15, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:20:15, Acq. 40, Trigger: RaspPi, RecNum: 40
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:17, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:17, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:20:17, Acq. 41, Trigger: RaspPi, RecNum: 41
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:18, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:18, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:20:18, Acq. 42, Trigger: RaspPi, RecNum: 42
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:19, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:22, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:20:22, Acq. 43, Trigger: RaspPi, RecNum: 43
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:22, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:23, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:20:23, Acq. 44, Trigger: RaspPi, RecNum: 45
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:24, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:24, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:20:24, Acq. 45, Trigger: RaspPi, RecNum: 46
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:25, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:25, Acquiring
